delivery_id,delivery_partner,package_type,vehicle_type,delivery_mode,region,weather_condition,distance_km,package_weight_kg,delayed,delivery_status,delivery_rating,delivery_cost,expected_time_hours_recon,speed_kmph_recon,weather_mult_recon,delivery_time_hours_recon,partner_mult_recon,delay_hours_recon,delayed_flag_recon,order_date_recon,order_ts_recon,delivery_ts_recon,expected_ts_recon,hour,order_dayofweek,order_day_name,order_month,order_year,order_hour,is_weekend,rush_hour_flag,night_delivery_flag,delay_severity,severe_delay_flag,speed_category,efficiency_score,cost_per_km,cost_per_kg,heavy_flag,partner_delay_rate,region_delay_rate,vehicle_delay_rate,mode_delay_rate,bad_weather_flag,weather_severity,weather_distance_risk,status_delivered_flag,load_index,cost_weather_risk,partner_weather_risk,time_ratio,early_flag,is_holiday_order_date_recon,holiday_name_order_date_recon,is_weekend_order_date_recon
250.99,amazon logistics,automobile parts,ev bike,standard,west,clear,235.6,48.07,no,delivered,5,1322.21,52.8,30,1.0,9.332488798,1.00190617,-43.4675112,0,2024-10-21,2024-10-21 13:00:00,2024-10-21 22:19:56.959673890,2024-10-23 17:48:00,13,0,Monday,10,2024,13,0,0,0,OnTime/Early,0,Medium,30.0,5.612096774193549,27.50592885375494,1,0.0287716709701217,0.0302257114818449,0.0905642484589853,0.0,0,0,0.0,1,11325.292,1322.21,0.0,0.176751681780303,1,0,,0
250.99,amazon logistics,clothing,bike,express,central,stormy,81.8,45.51,yes,delayed,2,595.53,8.0,35,1.1,4.129934523,1.00190617,-3.870065477,0,2024-01-02,2024-01-02 12:00:00,2024-01-02 16:07:47.764281093,2024-01-02 20:00:00,12,1,Tuesday,1,2024,12,0,0,0,OnTime/Early,0,Medium,31.818181818181817,7.280317848410758,13.08569545154911,1,0.0287716709701217,0.0316205533596837,0.0451923076923076,0.1179207444248355,1,4,327.2,0,3722.718,655.083,0.1150866838804869,0.516241815375,1,0,,0
250.99,amazon logistics,clothing,van,same day,north,clear,282.9,31.33,yes,delayed,2,1608.49,26.4,45,1.0,7.427397613,1.00190617,-18.97260239,0,2024-05-31,2024-05-31 11:00:00,2024-05-31 18:25:38.631406710,2024-06-01 13:24:00,11,4,Friday,5,2024,11,0,0,0,OnTime/Early,0,Fast,45.0,5.685719335454225,51.34024896265561,1,0.0287716709701217,0.0299050313194584,0.0023883448770002,0.0,0,0,0.0,0,8863.257,1608.49,0.0,0.2813408186742424,1,0,,0
250.99,amazon logistics,cosmetics,ev bike,two day,central,hot,88.6,8.67,no,delivered,3,469.01,48.0,30,1.1,3.997011154,1.00190617,-44.00298885,0,2024-01-03,2024-01-03 17:00:00,2024-01-03 20:59:49.240153885,2024-01-05 17:00:00,17,2,Wednesday,1,2024,17,0,1,0,OnTime/Early,0,Medium,27.27272727272727,5.293566591422122,54.095732410611305,0,0.0287716709701217,0.0316205533596837,0.0905642484589853,0.0,0,1,88.6,1,768.1619999999999,515.9110000000001,0.0287716709701217,0.0832710657083333,1,0,,0
250.99,amazon logistics,cosmetics,ev van,two day,east,rainy,204.2,8.09,no,delivered,4,1045.27,52.8,40,1.2,6.933351001,1.00190617,-45.866649,0,2024-03-19,2024-03-19 13:00:00,2024-03-19 19:56:00.063604276,2024-03-21 17:48:00,13,1,Tuesday,3,2024,13,0,0,0,OnTime/Early,0,Medium,33.333333333333336,5.118854064642507,129.2051915945612,0,0.0287716709701217,0.0262248424476519,0.0187074829931972,0.0,1,2,408.4,1,1651.9779999999998,1254.3239999999998,0.0575433419402434,0.1313134659280303,1,0,,0
250.99,amazon logistics,cosmetics,scooter,standard,east,clear,286.8,46.67,no,delivered,3,1574.01,52.8,40,1.0,8.619799543,1.00190617,-44.18020046,0,2024-03-21,2024-03-21 12:00:00,2024-03-21 20:37:11.278353828,2024-03-23 16:48:00,12,3,Thursday,3,2024,12,0,0,0,OnTime/Early,0,Medium,40.0,5.488179916317991,33.72637668737947,1,0.0287716709701217,0.0262248424476519,0.0184475323430761,0.0,0,0,0.0,1,13384.956,1574.01,0.0,0.1632537792234848,1,0,,0
250.99,amazon logistics,cosmetics,truck,two day,north,cold,289.0,48.99,no,delivered,4,1591.97,52.8,50,1.05,7.637320333,1.00190617,-45.16267967,0,2024-06-01,2024-06-01 10:00:00,2024-06-01 17:38:14.353200218,2024-06-03 14:48:00,10,5,Saturday,6,2024,10,1,1,0,OnTime/Early,0,Fast,47.61904761904762,5.508546712802768,32.49581547254542,1,0.0287716709701217,0.0299050313194584,0.0002412545235223,0.0,0,1,289.0,1,14158.11,1671.5685,0.0287716709701217,0.1446462184280303,1,0,,1
250.99,amazon logistics,documents,truck,same day,east,foggy,123.5,29.37,yes,delayed,2,805.61,24.0,50,1.15,4.09880816,1.00190617,-19.90119184,0,2024-03-17,2024-03-17 14:00:00,2024-03-17 18:05:55.709377490,2024-03-18 14:00:00,14,6,Sunday,3,2024,14,1,0,0,OnTime/Early,0,Fast,43.47826086956522,6.523157894736842,27.42969016002724,0,0.0287716709701217,0.0262248424476519,0.0002412545235223,0.0,1,3,370.5,0,3627.195,926.4515,0.0863150129103651,0.1707836733333333,1,0,,1
250.99,amazon logistics,documents,van,same day,north,rainy,90.0,33.7,no,delivered,3,651.1,24.0,45,1.2,3.81606022,1.00190617,-20.18393978,0,2024-05-27,2024-05-27 15:00:00,2024-05-27 18:48:57.816792669,2024-05-28 15:00:00,15,0,Monday,5,2024,15,0,0,0,OnTime/Early,0,Fast,37.5,7.234444444444445,19.32047477744807,1,0.0287716709701217,0.0299050313194584,0.0023883448770002,0.0,1,2,180.0,1,3033.0000000000005,781.32,0.0575433419402434,0.1590025091666666,1,0,,0
250.99,amazon logistics,documents,ev bike,express,west,rainy,48.4,33.15,yes,delayed,3,391.45,8.0,30,1.2,3.337950596,1.00190617,-4.662049404,0,2024-10-16,2024-10-16 12:00:00,2024-10-16 15:20:16.622145153,2024-10-16 20:00:00,12,2,Wednesday,10,2024,12,0,0,0,OnTime/Early,0,Medium,25.0,8.087809917355372,11.80844645550528,1,0.0287716709701217,0.0302257114818449,0.0905642484589853,0.1179207444248355,1,2,96.8,0,1604.4599999999998,469.74,0.0575433419402434,0.4172438245,1,0,,0
